cCRE_id	k	b_starred	MSE	a	b	R_min	R_max	z_min	z_max	z_start	kinetic_class	switching_time	saturation_time	minimum_time
EM10D3111798	1.02675569596361	1.9815684581972	0.0001648543191056	1.4634431975621	3.1027758963181	1	2	2.29073366636954	3.11802413517698	2.29073366636954	decelerator	10.481880286396	14.9572582835174	-25.3994512053462
EM10D3228524	-0.268775099735054	2.01679436943135	0.0075297585219288	0.62414988797868	1.68892569341178	1	2	1.15210445864387	1.68005902930906	1.62958748638043	accelerator	21.0289711572259	3.93244750356803	158.100305236243
EM10D3360524	0.447135655382735	1785864.21927629	0.00311569073106062	1.23649060041935	1786369.03789633	1e-05	1	1.23650060323917	2.23677258273581	1.24561092135098	accelerator	53.2003199936725	63.4771113763711	-29.1938282796734
EM10D0144246	1.02066198626769	0.972883868461625	0.0162867863978315	1.89139110389425	2.54416517604565	1e-05	1	1.89139781357557	2.56235923617873	1.92265260038112	switcher	13.429223902119	17.9313214740467	-22.6663317113752
EM10D1047237	-1.99779861566745	1.00103040140379	0.00245095219378508	1.07985783907675	1.44763878517272	1e-05	1	1.07986151310049	1.44726021325062	1.44726021325062	switcher	13.9426932656304	11.6426016477376	32.3836718502493
EM10D1059602	-0.489661647996333	161293.989437811	0.00155741382482607	1.94089287213271	175099.487201054	1e-05	1	1.94090372793378	3.02647297910683	3.02647297910683	decelerator	-13.9882907398565	-23.3725663288015	61.2501144704708
