cCRE_id	E10.5	E11.5	E12.5	E13.5	E14.5	E15.5	E16.5	PN
EM10D0144246	1.92265260038112	1.89139781357557	1.90998930285207	2.24724966250699	2.44195099910917	2.56235923617873	2.40102884091981	2.5533492607186
EM10D1047237	1.44726021325062	1.39525207794537	1.41927175130354	1.3478911616366	1.16733471629674	1.09028685205392	1.08475277892454	1.07986151310049
EM10D1059602	3.02647297910683	2.59152667755129	2.36702758607922	2.11968289725354	2.15034572895396	2.09707931777972	1.95392958678301	1.94090372793378
EM10D3111798	2.29073366636954	2.678561498817	2.91496341478233	3.03057840410427	3.07847327143077	3.11802413517698	3.0857390360116	3.09395105766989
EM10D3228524	1.62958748638043	1.68005902930906	1.48777849046663	1.58411255425697	1.51387793273689	1.49722213167633	1.47341671725348	1.15210445864387
EM10D3360524	1.24561092135098	1.23650060323917	1.27060594373081	1.27031645003655	1.26317623319989	1.44527689547943	1.27734434698244	2.23677258273581
