cCRE_id	E10.5	E11.5	E12.5	E13.5	E14.5	E15.5	E16.5	PN
EM10D0043278	0.112209163706003	0.263615771996068	0.101058746899128	0.00109066358305005	-0.0733457337036519	-0.155362226485118	-0.130227596077729	-0.103008112890712
EM10D0046746	0.158520542990051	0.207235934578883	0.0882546996858981	0.0342933724159356	-0.0391589358988853	-0.136999257336671	-0.328550015608365	-0.181150203360637
EM10D0071994	0.236784089390616	0.121332411026646	0.030479381914486	0.00847472705218005	0.039378496043341	-0.139550812425385	-0.265467941236449	-0.430557973295334
EM10D0075496	0.230674495153591	0.435286108257799	0.0671111058844255	-0.0221633856796332	0.027222296393292	-0.152012822701386	-0.0205195044126302	0.0318258720571991
EM10D0108988	0.482631483249472	0.300728947363605	0.0714491932412285	-0.149074196060852	-0.171492163054655	-0.0524798108259172	-0.257485526618234	-0.521401568911131
EM10D0125116	0.16301182250037	0.0451782944969416	-0.0261631914760588	-0.0880007173664439	-0.040378978725152	-0.0181714846221315	0.0611579564184715	-0.263296916971396
EM10D0207339	0.0858805773742577	0.217077531243264	0.120175185139019	-0.128941214592487	-0.0814864615448551	-0.16966681578185	-0.303139128768387	-0.203411388304053
EM10D0274344	0.307006503690865	0.0634083168835888	0.159281665977209	0.0358918324680212	-0.074896147243872	-0.249645987490951	-0.231121810869556	-0.259074014162936
EM10D0361641	0.118187311150051	0.0191138093809159	-0.00716169524655775	-0.0614404464723801	-0.132705151658841	-0.161692618129442	-0.244606794551297	0.00903100927054845
EM10D0429215	0.245124842677266	0.281294949165181	0.147707072550259	0.102033648964557	-0.0739956868180945	-0.153642813604941	-0.105534629455663	-0.0522163352911977
